Transaction_Date_&_Time,Transaction_Value,Remarks,Transaction_Type,Age,Gender,Occupation,Industry,Repetitive
1/1/2020 13:17,4742,Transaction,Duitnow,28,Male,"Conservation officer, historic buildings",Finance & Banking,0
1/2/2020 21:35,3057,Transaction,IBG,47,Male,Youth worker,Eletrical & Electronic,0
1/5/2020 6:06,504,Utility,Duitnow,97,Female,Fitness centre manager,Finance & Banking,0
1/5/2020 13:38,327,Credit Card Installment,IBG,69,Male,Chartered accountant,Finance & Banking,0
1/5/2020 19:29,2725,Transaction,Instant Transfer,74,Female,"Teacher, music",Transport Network,0
1/8/2020 5:35,4103,House Installment,Duitnow,25,Female,Landscape architect,Defence,0
1/9/2020 0:19,9150,Transaction,IBG,97,Male,Firefighter,Energy,0
1/9/2020 1:52,3708,House Installment,Duitnow,45,Female,Furniture designer,Medical Tourism,0
1/10/2020 15:26,3411,Transaction,Duitnow,60,Female,"Engineer, petroleum",Medical Tourism,0
1/10/2020 19:58,1499,Car Installment,Duitnow,24,Male,Community arts worker,Energy,0
1/11/2020 22:10,5675,Utility,Instant Transfer,50,Male,Chief Executive Officer,Energy,0
1/12/2020 5:47,7338,Transaction,Duitnow,88,Female,Geoscientist,Eletrical & Electronic,0
1/12/2020 13:09,1545,Utility,Duitnow,97,Male,Training and development officer,Medical Tourism,0
1/13/2020 5:08,831,Car Installment,Duitnow,52,Male,Recruitment consultant,Tourism,0
1/14/2020 7:23,7618,Transaction,IBG,40,Female,Scientific laboratory technician,Energy,0
1/14/2020 7:48,8253,Credit Card Installment,IBG,89,Female,"Surveyor, quantity",Construction,0
1/14/2020 18:51,9303,Credit Card Installment,IBG,74,Male,Heritage manager,Oil and Gas,0
1/15/2020 0:59,9831,Credit Card Installment,Instant Transfer,47,Male,"Education officer, environmental",Tourism,0
1/15/2020 19:00,7657,House Installment,IBG,38,Male,Quarry manager,Eletrical & Electronic,0
1/16/2020 18:39,9324,Transaction,Instant Transfer,58,Male,Chartered legal executive (England and Wales),Energy,0
1/17/2020 5:52,4486,Utility,Duitnow,77,Female,Occupational therapist,Energy,0
1/17/2020 8:22,9596,Transaction,Instant Transfer,37,Male,"Civil engineer, consulting",Oil and Gas,0
1/17/2020 16:51,4324,House Installment,IBG,18,Male,"Presenter, broadcasting",Energy,0
1/17/2020 21:48,210,Utility,Duitnow,63,Male,Herpetologist,Finance & Banking,0
1/21/2020 2:43,9462,Credit Card Installment,IBG,32,Female,Rural practice surveyor,Finance & Banking,0
1/24/2020 6:42,5500,House Installment,IBG,74,Female,Airline pilot,Finance & Banking,0
1/25/2020 5:40,8794,House Installment,IBG,99,Female,Dealer,Energy,0
1/25/2020 22:16,3931,Transaction,Instant Transfer,65,Male,Geophysicist/field seismologist,Transport Network,0
1/26/2020 13:51,8319,Car Installment,IBG,54,Female,Contractor,Defence,0
1/28/2020 20:46,2169,House Installment,Duitnow,79,Male,"Pilot, airline",Construction,0
1/28/2020 21:27,1300,Credit Card Installment,Duitnow,33,Female,Aid worker,Medical Tourism,0
1/29/2020 8:23,4679,Utility,Instant Transfer,42,Female,Banker,Energy,0
1/29/2020 22:13,1403,Transaction,Duitnow,28,Male,Television floor manager,Eletrical & Electronic,0
1/31/2020 7:32,226,House Installment,Duitnow,51,Female,"Psychologist, forensic",Construction,0
1/31/2020 12:01,2414,Transaction,IBG,89,Male,Armed forces operational officer,Finance & Banking,0
1/31/2020 17:44,4118,House Installment,Instant Transfer,62,Male,Health physicist,Defence,0
2/1/2020 9:00,6000,Food,DuitNow,25,Female,Director,Hospitality,1
2/1/2020 18:54,7275,House Installment,IBG,55,Male,Community arts worker,Defence,0
2/2/2020 10:00,8000,Installment,Instant Transfer,25,Male,CEO,Food & Beverage,1
2/3/2020 20:14,9763,Transaction,Instant Transfer,32,Female,"Producer, television/film/video",Finance & Banking,0
2/4/2020 9:18,5263,Credit Card Installment,IBG,18,Male,English as a foreign language teacher,Medical Tourism,0
2/4/2020 12:00,3500,A0nyth1ng,Instant Transfer,40,Male,Clerk,Construction,1
2/5/2020 20:00,3100,asd,IBG,40,Female,Doctor,Medical,1
2/5/2020 23:14,2349,Credit Card Installment,IBG,41,Female,Associate Professor,Transport Network,0
2/6/2020 3:10,9200,Utility,IBG,64,Male,Equality and diversity officer,Medical Tourism,0
2/7/2020 7:11,6852,House Installment,Instant Transfer,79,Female,Public relations account executive,Defence,0
2/7/2020 14:17,1159,Credit Card Installment,Instant Transfer,43,Male,"Education officer, community",Medical Tourism,0
2/8/2020 14:44,1203,Credit Card Installment,Instant Transfer,71,Male,"Designer, television/film set",Eletrical & Electronic,0
2/8/2020 15:13,7018,Car Installment,Duitnow,47,Female,Colour technologist,Tourism,0
2/10/2020 10:00,800,lkjasl,DuitNow,20,Male,Admin,Toursim,1
2/10/2020 12:37,3247,Transaction,Instant Transfer,46,Female,Financial planner,Tourism,0
2/10/2020 23:23,9479,Transaction,Instant Transfer,83,Female,"Designer, furniture",Defence,0
2/11/2020 0:04,3286,House Installment,Instant Transfer,62,Female,Multimedia programmer,Eletrical & Electronic,0
2/13/2020 1:32,2499,Credit Card Installment,Instant Transfer,40,Male,Maintenance engineer,Defence,0
2/13/2020 4:46,1045,House Installment,Duitnow,86,Male,Broadcast engineer,Oil and Gas,0
2/13/2020 22:00,2345,Life needs,Instant Transfer,57,Female,Manager ,Banking,1
2/14/2020 10:19,3559,Credit Card Installment,Instant Transfer,43,Female,Museum/gallery exhibitions officer,Energy,0
2/14/2020 15:57,8464,Credit Card Installment,IBG,37,Female,Broadcast presenter,Construction,0
2/15/2020 17:16,7969,Car Installment,Instant Transfer,36,Male,Web designer,Eletrical & Electronic,0
2/15/2020 21:57,4634,Utility,IBG,93,Female,"Engineer, mining",Tourism,0
2/16/2020 17:50,2243,Credit Card Installment,IBG,43,Male,Careers information officer,Construction,0
2/17/2020 15:37,8207,House Installment,Instant Transfer,75,Female,Accommodation manager,Eletrical & Electronic,0
2/18/2020 13:46,3065,Utility,Duitnow,27,Male,Pathologist,Oil and Gas,0
2/19/2020 17:18,7790,Car Installment,Instant Transfer,49,Female,Public librarian,Construction,0
2/21/2020 8:00,5000,G1bersh,IBG,35,Male,Photographer,Food & Beverage,1
2/22/2020 13:00,1500,Installment,IBG,22,Male,Driver,Transportation,1
2/23/2020 12:20,3442,Utility,Instant Transfer,59,Male,Rural practice surveyor,Automotive,0
2/25/2020 7:35,1896,House Installment,Instant Transfer,83,Male,Product manager,Energy,0
2/25/2020 15:00,4500,Installment,IBG,36,Female,Interior Designer,Construction,1
2/26/2020 2:24,6533,Car Installment,IBG,96,Female,Health and safety adviser,Medical Tourism,0
2/26/2020 16:51,2457,Transaction,IBG,31,Male,"Production designer, theatre/television/film",Oil and Gas,0
2/28/2020 10:15,6444,House Installment,IBG,72,Male,"Engineer, biomedical",Tourism,0
2/28/2020 16:00,880,Debt,DuitNow,53,Male,Programmer,Banking,1
3/1/2020 9:00,6000,Food,DuitNow,25,Female,Director,Hospitality,1
3/2/2020 10:00,8000,Installment,Instant Transfer,25,Male,CEO,Food & Beverage,1
3/4/2020 1:52,6162,Transaction,IBG,31,Female,"Horticulturist, amenity",Finance & Banking,0
3/4/2020 12:00,3500,A0nyth1ng,Instant Transfer,40,Male,Clerk,Construction,1
3/5/2020 2:42,7052,Car Installment,Instant Transfer,59,Female,"Social research officer, government",Energy,0
3/5/2020 12:21,6560,Utility,IBG,24,Male,Electronics engineer,Oil and Gas,0
3/5/2020 18:37,5047,Car Installment,IBG,56,Male,Interior and spatial designer,Transport Network,0
3/5/2020 20:00,3100,asd,IBG,40,Female,Doctor,Medical,1
3/6/2020 0:57,5177,Transaction,Instant Transfer,96,Male,Professor Emeritus,Construction,0
3/8/2020 1:01,4682,House Installment,Duitnow,97,Male,Firefighter,Construction,0
3/8/2020 10:10,5388,Car Installment,Duitnow,61,Male,Warehouse manager,Eletrical & Electronic,0
3/8/2020 13:57,5558,Credit Card Installment,Duitnow,90,Female,Product/process development scientist,Automotive,0
3/10/2020 10:00,800,lkjasl,DuitNow,20,Male,Admin,Toursim,1
3/10/2020 12:15,5949,Credit Card Installment,Duitnow,22,Male,"Psychologist, educational",Medical Tourism,0
3/10/2020 22:33,2080,Car Installment,Duitnow,71,Female,Town planner,Automotive,0
3/13/2020 22:00,2345,Life needs,Instant Transfer,57,Female,Manager ,Banking,1
3/14/2020 17:10,9020,Credit Card Installment,Duitnow,34,Female,Economist,Eletrical & Electronic,0
3/14/2020 18:04,780,Transaction,Duitnow,76,Female,"Administrator, Civil Service",Defence,0
3/15/2020 3:48,2982,Transaction,Instant Transfer,28,Female,"Scientist, research (medical)",Finance & Banking,0
3/17/2020 4:45,111,Utility,Duitnow,19,Female,Armed forces operational officer,Medical Tourism,0
3/19/2020 0:54,6905,House Installment,Duitnow,97,Male,"Runner, broadcasting/film/video",Energy,0
3/19/2020 1:42,6038,Transaction,Duitnow,20,Male,Advertising copywriter,Transport Network,0
3/19/2020 14:17,7709,Transaction,Duitnow,21,Male,"Teacher, early years/pre",Transport Network,0
3/19/2020 17:19,5487,Utility,Instant Transfer,57,Male,"Social research officer, government",Energy,0
3/20/2020 11:24,2932,Utility,Duitnow,64,Male,Statistician,Defence,0
3/21/2020 8:00,5000,G1bersh,IBG,35,Male,Photographer,Food & Beverage,1
3/22/2020 13:00,1500,Installment,IBG,22,Male,Driver,Transportation,1
3/23/2020 0:08,4184,House Installment,Instant Transfer,61,Female,"Administrator, Civil Service",Eletrical & Electronic,0
3/23/2020 7:07,1084,House Installment,IBG,92,Female,Social researcher,Tourism,0
3/24/2020 4:10,781,Utility,Duitnow,36,Female,Field trials officer,Construction,0
3/24/2020 7:29,2226,House Installment,Duitnow,74,Male,Metallurgist,Construction,0
3/25/2020 5:42,6349,Utility,Duitnow,27,Male,"Surveyor, building",Construction,0
3/25/2020 10:38,3263,House Installment,Instant Transfer,22,Male,Accounting technician,Tourism,0
3/25/2020 15:00,4500,Installment,IBG,36,Female,Interior Designer,Construction,1
3/28/2020 1:50,1027,Transaction,Instant Transfer,74,Female,Product designer,Construction,0
3/28/2020 8:33,2296,Credit Card Installment,Instant Transfer,94,Male,Education administrator,Eletrical & Electronic,0
3/28/2020 13:12,4405,Transaction,Duitnow,66,Female,Games developer,Finance & Banking,0
3/28/2020 16:00,880,Debt,DuitNow,53,Male,Programmer,Banking,1
3/30/2020 4:49,3415,House Installment,IBG,69,Male,"Administrator, education",Automotive,0
3/31/2020 0:38,7712,Car Installment,IBG,54,Female,Control and instrumentation engineer,Tourism,0
4/1/2020 9:00,6000,Food,DuitNow,25,Female,Director,Hospitality,1
4/1/2020 17:44,65,Credit Card Installment,Duitnow,19,Female,Financial adviser,Medical Tourism,0
4/2/2020 10:00,8000,Installment,Instant Transfer,25,Male,CEO,Food & Beverage,1
4/3/2020 9:46,7839,Credit Card Installment,IBG,57,Male,Advertising account planner,Transport Network,0
4/3/2020 22:00,6406,Credit Card Installment,Instant Transfer,81,Male,Broadcast presenter,Eletrical & Electronic,0
4/4/2020 2:05,2084,Credit Card Installment,IBG,74,Male,Multimedia specialist,Transport Network,0
4/4/2020 11:25,8638,Utility,Duitnow,18,Female,Dealer,Automotive,0
4/4/2020 12:00,3500,A0nyth1ng,Instant Transfer,40,Male,Clerk,Construction,1
4/5/2020 4:42,709,Car Installment,IBG,66,Female,Chartered certified accountant,Construction,0
4/5/2020 20:00,3100,asd,IBG,40,Female,Doctor,Medical,1
4/6/2020 10:56,2222,Transaction,Duitnow,55,Male,Public relations officer,Construction,0
4/7/2020 19:18,2549,Utility,Instant Transfer,43,Female,Dealer,Oil and Gas,0
4/9/2020 20:40,7079,House Installment,Instant Transfer,77,Male,Herbalist,Energy,0
4/10/2020 6:15,7910,Transaction,IBG,70,Female,"Engineer, production",Tourism,0
4/10/2020 6:36,8694,Transaction,IBG,63,Female,Public relations account executive,Oil and Gas,0
4/10/2020 10:00,800,lkjasl,DuitNow,20,Male,Admin,Toursim,1
4/10/2020 14:58,1944,Credit Card Installment,Instant Transfer,80,Female,"Programme researcher, broadcasting/film/video",Defence,0
4/11/2020 5:00,7643,Utility,Duitnow,64,Female,"Doctor, general practice",Oil and Gas,0
4/12/2020 8:22,8921,Car Installment,IBG,86,Female,IT sales professional,Medical Tourism,0
4/13/2020 20:32,3745,Car Installment,IBG,61,Female,Lawyer,Automotive,0
4/13/2020 22:00,2345,Life needs,Instant Transfer,57,Female,Manager ,Banking,1
4/15/2020 1:09,4397,Car Installment,Instant Transfer,32,Male,Product manager,Construction,0
4/15/2020 18:46,2984,Transaction,Instant Transfer,83,Female,Multimedia specialist,Transport Network,0
4/17/2020 7:21,3016,Credit Card Installment,Instant Transfer,68,Male,Chief Strategy Officer,Construction,0
4/19/2020 5:42,2822,House Installment,Instant Transfer,90,Female,"Therapist, speech and language",Tourism,0
4/19/2020 14:07,3105,Transaction,Instant Transfer,47,Female,Broadcast presenter,Energy,0
4/21/2020 8:00,5000,G1bersh,IBG,35,Male,Photographer,Food & Beverage,1
4/22/2020 10:09,7400,Utility,IBG,39,Female,Mechanical engineer,Finance & Banking,0
4/22/2020 12:06,9635,Credit Card Installment,Instant Transfer,33,Female,Tourist information centre manager,Transport Network,0
4/22/2020 13:00,1500,Installment,IBG,22,Male,Driver,Transportation,1
4/23/2020 2:42,3982,Utility,Duitnow,36,Female,Fitness centre manager,Construction,0
4/23/2020 16:01,7103,Transaction,Duitnow,46,Male,Make,Energy,0
4/23/2020 20:37,5696,House Installment,Instant Transfer,38,Female,IT trainer,Construction,0
4/25/2020 4:26,3948,Transaction,IBG,23,Male,Local government officer,Automotive,0
4/25/2020 9:11,2594,Transaction,Instant Transfer,89,Male,Airline pilot,Finance & Banking,0
4/25/2020 11:48,1808,House Installment,IBG,38,Male,Trade union research officer,Finance & Banking,0
4/25/2020 13:50,6344,Credit Card Installment,Instant Transfer,52,Male,Barista,Finance & Banking,0
4/25/2020 15:00,4500,Installment,IBG,36,Female,Interior Designer,Construction,1
4/26/2020 1:11,1434,Car Installment,Instant Transfer,23,Male,Claims inspector/assessor,Tourism,0
4/26/2020 2:10,9648,House Installment,Duitnow,50,Male,Bookseller,Finance & Banking,0
4/27/2020 23:02,6863,Credit Card Installment,Instant Transfer,76,Female,"Psychologist, sport and exercise",Transport Network,0
4/28/2020 16:00,880,Debt,DuitNow,53,Male,Programmer,Banking,1
4/30/2020 0:28,1409,Utility,IBG,71,Female,Bookseller,Defence,0
5/1/2020 9:00,6000,Food,DuitNow,25,Female,Director,Hospitality,1
5/1/2020 18:14,2881,House Installment,Instant Transfer,35,Male,"Programme researcher, broadcasting/film/video",Oil and Gas,0
5/1/2020 19:38,2561,Car Installment,Duitnow,26,Female,"Scientist, physiological",Transport Network,0
5/2/2020 10:00,8000,Installment,Instant Transfer,25,Male,CEO,Food & Beverage,1
5/3/2020 11:55,961,Transaction,Instant Transfer,36,Male,Medical illustrator,Construction,0
5/4/2020 12:00,3500,A0nyth1ng,Instant Transfer,40,Male,Clerk,Construction,1
5/4/2020 19:07,7850,House Installment,IBG,18,Male,Set designer,Construction,0
5/5/2020 7:05,8497,Credit Card Installment,Duitnow,29,Male,Community arts worker,Automotive,0
5/5/2020 20:00,3100,asd,IBG,40,Female,Doctor,Medical,1
5/8/2020 15:42,3130,Car Installment,IBG,73,Female,Publishing copy,Eletrical & Electronic,0
5/9/2020 22:13,9738,Transaction,Duitnow,96,Female,Secondary school teacher,Medical Tourism,0
5/10/2020 10:00,800,lkjasl,DuitNow,20,Male,Admin,Toursim,1
5/10/2020 12:26,2083,Car Installment,IBG,76,Male,Automotive engineer,Energy,0
5/13/2020 15:36,9211,Transaction,Duitnow,25,Male,Social worker,Medical Tourism,0
5/13/2020 22:00,2345,Life needs,Instant Transfer,57,Female,Manager ,Banking,1
5/15/2020 14:41,8687,Car Installment,Instant Transfer,43,Male,Sales promotion account executive,Oil and Gas,0
5/16/2020 12:14,2491,House Installment,Duitnow,96,Female,"Lecturer, higher education",Oil and Gas,0
5/17/2020 4:14,1263,Car Installment,Duitnow,75,Female,Environmental health practitioner,Oil and Gas,0
5/19/2020 5:29,6030,Credit Card Installment,IBG,71,Female,"Teacher, music",Defence,0
5/20/2020 20:30,403,Credit Card Installment,IBG,71,Male,Film/video editor,Construction,0
5/21/2020 8:00,5000,G1bersh,IBG,35,Male,Photographer,Food & Beverage,1
5/22/2020 1:28,4445,Credit Card Installment,Duitnow,53,Female,"Programmer, applications",Oil and Gas,0
5/22/2020 1:52,8313,Car Installment,Instant Transfer,40,Female,Corporate investment banker,Tourism,0
5/22/2020 10:46,3113,Credit Card Installment,Duitnow,57,Female,"Scientist, research (medical)",Energy,0
5/22/2020 13:00,1500,Installment,IBG,22,Male,Driver,Transportation,1
5/24/2020 1:42,4939,Utility,IBG,49,Female,Retail buyer,Oil and Gas,0
5/24/2020 19:06,9417,Credit Card Installment,Duitnow,29,Female,Maintenance engineer,Tourism,0
5/25/2020 1:16,8064,Utility,Duitnow,39,Female,Commissioning editor,Eletrical & Electronic,0
5/25/2020 15:00,4500,Installment,IBG,36,Female,Interior Designer,Construction,1
5/26/2020 23:37,2367,House Installment,IBG,43,Female,Geochemist,Oil and Gas,0
5/27/2020 13:21,5012,Utility,Duitnow,64,Male,"Chemist, analytical",Eletrical & Electronic,0
5/28/2020 13:21,9415,Transaction,IBG,80,Female,Risk manager,Medical Tourism,0
5/28/2020 16:00,880,Debt,DuitNow,53,Male,Programmer,Banking,1
5/28/2020 20:09,7403,Utility,IBG,87,Female,Theatre manager,Transport Network,0
6/1/2020 9:00,6000,Food,DuitNow,25,Female,Director,Hospitality,1
6/2/2020 10:00,8000,Installment,Instant Transfer,25,Male,CEO,Food & Beverage,1
6/4/2020 12:00,3500,A0nyth1ng,Instant Transfer,40,Male,Clerk,Construction,1
6/5/2020 20:00,3100,asd,IBG,40,Female,Doctor,Medical,1
6/10/2020 10:00,800,lkjasl,DuitNow,20,Male,Admin,Toursim,1
6/13/2020 22:00,2345,Life needs,Instant Transfer,57,Female,Manager ,Banking,1
6/21/2020 8:00,5000,G1bersh,IBG,35,Male,Photographer,Food & Beverage,1
6/22/2020 13:00,1500,Installment,IBG,22,Male,Driver,Transportation,1
6/25/2020 15:00,4500,Installment,IBG,36,Female,Interior Designer,Construction,1
6/28/2020 16:00,880,Debt,DuitNow,53,Male,Programmer,Banking,1
